file,ground_truth_actor,predicted_actor,candidate_group_id,candidate_name,score,name_match,technique_overlap,malware_overlap,shared_techniques,shared_malware
G0010.json,Turla,APT28,G0007,APT28,2.0,True,0.5,1.0,T1189;T1036;T1105,Zebrocy
G0010.json,Turla,APT28,G0050,APT32,0.833,False,0.833,0.0,T1102;T1105;T1036;T1059;T1189,
G0010.json,Turla,APT28,,Winter Vivern,0.667,False,0.667,0.0,T1189;T1036;T1059;T1105,
G0010.json,Turla,APT28,G0035,Dragonfly,0.5,False,0.5,0.0,T1189;T1059;T1105,
G0010.json,Turla,APT28,G0049,OilRig,0.5,False,0.5,0.0,T1036;T1059;T1105,
G0010.json,Turla,APT28,G0117,Fox Kitten,0.5,False,0.5,0.0,T1102;T1059;T1105,
G0010.json,Turla,APT28,G0139,TeamTNT,0.5,False,0.5,0.0,T1102;T1036;T1105,
G0010.json,Turla,APT28,G0010,Turla,0.5,False,0.5,0.0,T1189;T1102;T1105,
G0010.json,Turla,APT28,G0060,BRONZE BUTLER,0.5,False,0.5,0.0,T1189;T1036;T1105,
G0010.json,Turla,APT28,G0129,Mustang Panda,0.5,False,0.5,0.0,T1102;T1059;T1105,
G0010.json,Turla,APT28,G0067,APT37,0.5,False,0.5,0.0,T1189;T1059;T1105,
G0010.json,Turla,APT28,G0068,PLATINUM,0.5,False,0.5,0.0,T1189;T1036;T1105,
G0010.json,Turla,APT28,G0112,Windshift,0.5,False,0.5,0.0,T1189;T1036;T1105,
G0010.json,Turla,APT28,G0140,LazyScripter,0.5,False,0.5,0.0,T1102;T1036;T1105,
G0010.json,Turla,APT28,G0066,Elderwood,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0046,FIN7,0.333,False,0.333,0.0,T1059;T1105,
G0010.json,Turla,APT28,G0032,Lazarus Group,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,,Daggerfly,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0034,Sandworm Team,0.333,False,0.333,0.0,T1036;T1105,
G0010.json,Turla,APT28,G0037,FIN6,0.333,False,0.333,0.0,T1102;T1059,
G0010.json,Turla,APT28,G0040,Patchwork,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0012,Darkhotel,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0004,Ke3chang,0.333,False,0.333,0.0,T1059;T1105,
G0010.json,Turla,APT28,G0059,Magic Hound,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0138,Andariel,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0087,APT39,0.333,False,0.333,0.0,T1059;T1105,
G0010.json,Turla,APT28,G0082,APT38,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0094,Kimsuky,0.333,False,0.333,0.0,T1566;T1105,
G0010.json,Turla,APT28,G0065,Leviathan,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,,Storm-1811,0.333,False,0.333,0.0,T1036;T1105,
G0010.json,Turla,APT28,G0045,menuPass,0.333,False,0.333,0.0,T1036;T1105,
G0010.json,Turla,APT28,,Mustard Tempest,0.333,False,0.333,0.0,T1189;T1105,
G0010.json,Turla,APT28,G0073,APT19,0.333,False,0.333,0.0,T1059;T1189,
G0010.json,Turla,APT28,,INC Ransom,0.333,False,0.333,0.0,T1566;T1105,
G0010.json,Turla,APT28,,FIN13,0.333,False,0.333,0.0,T1036;T1105,
G0010.json,Turla,APT28,G0061,FIN8,0.333,False,0.333,0.0,T1102;T1105,
G0010.json,Turla,APT28,G0106,Rocke,0.333,False,0.333,0.0,T1102;T1105,
G0010.json,Turla,APT28,G0124,Windigo,0.333,False,0.333,0.0,T1059;T1189,
G0010.json,Turla,APT28,G0027,Threat Group-3390,0.333,False,0.333,0.0,T1189;T1105,
