report,overall_score,Threat_actor,Group_Name,Group_ID,malware_family,Campaign_Name,ttp_precision,ttp_recall,ttp_f1,tactic_accuracy,gt_ttps,pr_ttps
G0010,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6,6
G0034_apt44,0.8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,24,24
G0034_apt49,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21,21
G0046_fin7,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11,11
G0007_2,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3,3
G0045_apt10_2,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5,5
G0007,0.7,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,10,10
G0046,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7,7
G0032_2,0.7826,1.0,1.0,1.0,0.0,0.0,0.8696,1.0,0.9302,1.0,20,23
G0049_apt34,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,28,28
G0045_apt10,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,47,47
G0034_apt44_2,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,27,27
G0032,0.8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,26,26
G0010_2,0.3914,0.0,0.0,0.0,0.0,0.0,0.9333,1.0,0.9655,1.0,28,30
G0010_3,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13,13
