label,count
G0007,68
G0032,52
G0010,41
G0016,30
G0034,30
G0045,27
G0046,27
G0020,26
G0049,25
G0050,24
G0027,23
G0006,22
G0069,22
G0040,21
G0096,20
G0008,20
G0092,19
G0021,19
G0009,18
G0044,17
G0060,17
G0004,16
G0035,15
G0129,15
G0012,14
G0067,14
G0037,13
G0005,13
G0059,12
G0047,12
G0130,12
G0065,11
G0134,11
G0014,11
G0030,11
G0022,11
G0121,11
G1006,11
G0064,10
G0094,10
G0142,10
G0015,9
G0091,9
G1028,9
G0019,8
G0081,8
G0041,8
G0001,8
G0100,8
G1002,8
G0098,8
G0056,7
G0099,6
G0078,6
G0120,6
G0048,6
G0080,5
G0102,5
G0087,5
G0119,5
G0025,4
G0114,4
G0095,4
G0082,4
G1041,4
G0112,4
G0079,4
G0003,3
G0062,3
G0127,3
G0024,3
G0066,3
G1033,3
G1042,3
G0125,3
G0118,3
G0075,3
G0068,3
G0126,3
G0139,3
G0138,3
G0029,3
G0085,2
G0011,2
G0131,2
G1016,2
G1022,2
G1030,2
G1023,2
G0123,2
G0023,2
G0052,2
G0073,2
G1001,2
G0061,2
G0070,2
G0108,2
G0031,2
G0033,2
G0043,2
G0090,1
G0026,1
G0083,1
G0089,1
G1008,1
G1034,1
G1047,1
G1017,1
G0013,1
G0018,1
G0002,1
G0063,1
G0054,1
G0017,1
G0106,1
G0116,1
G0093,1
G0140,1
G1012,1
G0137,1
G0136,1
G0124,1
G0128,1
G0132,1
G0117,1
G0122,1
G0084,1
G0072,1
G0104,1
G0071,1
G0133,1
G0038,1
G0103,1
G0039,1
G1024,1
